game_id,side_id,team_id,opponent_id,fgm,fga,tpm,tpa,ftm,fta,pts,oreb,dreb,reb,ast,stl,tov,blk,pf,player_id,enthusiasm_rating,pir
20190829-2015-burritos-camdenhells,1,camdenhells,burritos,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,rockets-anna,6,-3
20190829-2100-bbcballers-lions,0,bbcballers,lions,0,4,0,0,0,0,0,0,2,2,0,0,2,0,0,bbcballers-alexandra,8,-4
20190829-2100-bbcballers-lions,0,bbcballers,lions,2,10,1,3,0,0,5,0,5,5,3,1,3,0,3,bbcballers-amir,25,0
20190829-2100-bbcballers-lions,0,bbcballers,lions,1,7,0,4,0,2,2,0,4,4,4,2,4,0,1,bbcballers-arthur,24,-1
20190829-2100-bbcballers-lions,0,bbcballers,lions,1,4,0,0,0,0,2,2,2,4,0,0,1,1,0,bbcballers-james,10,3
20190829-2100-bbcballers-lions,0,bbcballers,lions,1,10,0,0,0,0,2,1,2,3,1,2,3,0,0,bbcballers-lisa,19,-4
20190829-2100-bbcballers-lions,0,bbcballers,lions,0,1,0,1,0,0,0,1,3,4,0,0,1,0,1,bbcballers-suhail,7,1
20190829-2100-bbcballers-lions,0,bbcballers,lions,8,22,6,11,0,0,22,0,0,0,0,1,1,0,0,dropbears-mary,24,8
20190829-2100-bbcballers-lions,1,lions,bbcballers,4,11,0,0,0,0,8,2,1,3,0,1,1,0,1,camdenhells-lauren,17,3
20190829-2100-bbcballers-lions,1,lions,bbcballers,5,14,0,0,1,2,11,4,5,9,0,1,2,2,0,lions-gus,30,11
20190829-2100-bbcballers-lions,1,lions,bbcballers,9,36,0,3,6,6,24,4,3,7,3,5,3,0,0,lions-mychelle,60,9
20190829-2100-bbcballers-lions,1,lions,bbcballers,4,4,0,0,0,0,8,11,1,12,9,1,2,0,0,lions-obi,28,28
20190829-2100-bbcballers-lions,1,lions,bbcballers,2,4,0,0,1,2,5,2,21,23,4,1,2,1,1,lions-saulius,38,28
20190829-2100-bbcballers-lions,1,lions,bbcballers,4,10,0,0,0,0,8,4,4,8,3,1,0,0,1,lions-telle,23,13
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,3,7,1,4,3,7,12,0,4,4,1,1,1,4,3,lostangels-aldis,28,10
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,4,6,0,0,0,0,8,3,3,6,2,1,2,2,0,lostangels-carlos,19,15
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,2,9,0,0,0,0,4,0,0,0,6,2,1,0,0,lostangels-carlotta,18,4
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,3,7,1,5,0,0,7,0,1,1,0,1,0,0,0,lostangels-daria,9,5
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,7,16,1,2,0,0,15,6,2,8,6,4,0,0,1,lostangels-jazeps,35,23
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,6,9,0,0,0,0,12,4,9,13,4,3,2,0,0,lostangels-john,31,27
20190905-1845-bbcballers-lostangels,1,lostangels,bbcballers,0,6,0,0,0,0,0,0,7,7,1,0,1,1,1,lostangels-sophie,17,1
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,10,14,3,5,0,0,23,1,7,8,3,0,2,0,2,burritos-alex,29,26
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,1,7,0,3,2,2,4,0,3,3,6,0,2,0,0,burritos-allen,20,5
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,3,5,0,0,0,0,6,1,0,1,1,1,2,0,1,burritos-armelle,11,4
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,3,9,3,6,1,4,10,3,8,11,2,3,5,0,2,burritos-stuart,36,10
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,1,7,0,3,0,0,2,1,1,2,0,2,3,0,0,burritos-suzi,14,-3
20190905-2015-burritos-greenmachine,0,burritos,greenmachine,2,7,0,0,0,0,4,0,1,1,0,0,0,0,0,burritos-sylwia,8,0
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,2,11,2,5,0,0,6,3,5,8,2,1,3,0,1,greenmachine-ahmed,26,4
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,3,8,0,0,1,2,7,1,8,9,2,1,4,1,3,greenmachine-alex,30,7
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,greenmachine-allison,3,-1
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,6,13,0,1,0,2,12,2,4,6,3,2,3,0,0,greenmachine-iestyn,29,11
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,10,16,1,3,1,3,22,1,3,4,1,4,0,0,2,greenmachine-itai,30,21
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,greenmachine-kelli,4,2
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,3,0,0,0,0,0,0,0,0,1,1,1,0,2,greenmachine-marina,8,-4
20190905-2015-burritos-greenmachine,1,greenmachine,burritos,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,greenmachine-victoria,4,-2
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,3,10,1,3,0,0,7,8,4,12,4,5,2,0,1,burritos-allen,34,18
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,2,6,0,1,0,0,4,1,0,1,2,1,0,0,1,burritos-armelle,11,3
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,5,7,1,1,0,2,11,1,0,1,3,1,2,0,0,burritos-suzi,16,10
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,5,15,0,0,0,0,10,2,1,3,3,1,0,0,0,burritos-sylwia,22,7
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,3,8,3,8,0,0,9,1,9,10,7,4,3,2,0,burritos-tom,34,24
20190919-1845-burritos-bbcballers,0,burritos,bbcballers,13,22,0,1,3,4,29,5,8,13,2,1,1,1,3,burritos-wouter,47,32
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,4,14,2,7,2,4,12,0,1,1,1,2,2,0,1,bbcballers-arthur,25,1
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,2,13,0,0,0,0,4,4,6,10,1,0,4,0,0,bbcballers-james,28,0
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,3,11,0,0,0,0,6,2,0,2,1,1,0,0,0,bbcballers-lisa,15,2
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,1,2,1,1,0,0,3,2,2,4,0,0,4,0,1,bbcballers-nathan,11,1
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,4,7,0,0,0,0,8,1,2,3,1,1,2,0,2,bbcballers-saulius,16,6
20190919-1845-burritos-bbcballers,1,bbcballers,burritos,0,2,0,1,0,0,0,2,4,6,0,0,4,0,0,bbcballers-suhail,12,0
20190919-2015-lostangels-dropbears,0,lostangels,dropbears,0,6,0,4,0,0,0,1,3,4,2,0,4,0,0,lostangels-aldis,16,-4
20190919-2015-lostangels-dropbears,0,lostangels,dropbears,2,4,0,0,2,4,6,3,5,8,1,1,2,0,0,lostangels-carlos,20,10
20190919-2015-lostangels-dropbears,0,lostangels,dropbears,2,7,1,6,0,0,5,1,2,3,0,0,1,0,0,lostangels-daria,11,2
20190919-2015-lostangels-dropbears,0,lostangels,dropbears,1,3,0,1,0,0,2,1,2,3,0,2,3,1,2,lostangels-jazeps,14,1
20190919-2015-lostangels-dropbears,0,lostangels,dropbears,4,11,0,0,2,4,10,1,7,8,1,0,1,1,3,lostangels-rob,29,7
20190919-2015-lostangels-dropbears,0,lostangels,dropbears,1,1,0,0,0,0,2,0,1,1,4,0,2,2,2,lostangels-rolands,12,5
