player_id,team_id,num_games,pts,avg_pts,fgm,fga,fg%,avg_fgm,avg_fga,3pm,3pa,3p%,avg_3pm,avg_3pa,2pm,2pa,2p%,avg_2pm,avg_2pa,ftm,fta,ft%,avg_ftm,avg_fta,oreb,dreb,reb,avg_oreb,avg_dreb,avg_reb,ast,avg_ast,stl,avg_stl,tov,avg_tov,blk,avg_blk,pf,avg_pf,pir,avg_pir
kissmygrass-steph,lions,1,4,4.0,2,3,0.666666666666667,2.0,3.0,0,0,,0.0,0.0,2,3,0.666666666666667,2.0,3.0,0,0,,0.0,0.0,1,1,2,1.0,1.0,2.0,2,2.0,1,1.0,3,3.0,0,0.0,0,0.0,5,5.0
lions-alfie,camdenhells,1,8,8.0,4,11,0.363636363636364,4.0,11.0,0,0,,0.0,0.0,4,11,0.363636363636364,4.0,11.0,0,0,,0.0,0.0,3,5,8,3.0,5.0,8.0,2,2.0,2,2.0,1,1.0,0,0.0,4,4.0,8,8.0
lions-alfie,lions,2,6,3.0,3,7,0.428571428571429,1.5,3.5,0,0,,0.0,0.0,3,7,0.428571428571429,1.5,3.5,0,2,0.0,0.0,1.0,6,7,13,3.0,3.5,6.5,2,1.0,3,1.5,10,5.0,0,0.0,2,1.0,6,3.0
lions-chris,lions,1,3,3.0,1,6,0.166666666666667,1.0,6.0,0,0,,0.0,0.0,1,6,0.166666666666667,1.0,6.0,1,2,0.5,1.0,2.0,2,7,9,2.0,7.0,9.0,1,1.0,2,2.0,2,2.0,0,0.0,1,1.0,6,6.0
lions-diego,lions,3,14,4.66666666666667,7,24,0.291666666666667,2.33333333333333,8.0,0,3,0.0,0.0,1.0,7,21,0.333333333333333,2.33333333333333,7.0,0,4,0.0,0.0,1.33333333333333,4,8,12,1.33333333333333,2.66666666666667,4.0,6,2.0,8,2.66666666666667,14,4.66666666666667,0,0.0,3,1.0,2,0.666666666666667
lions-foley,bbcballers,1,4,4.0,2,10,0.2,2.0,10.0,0,2,0.0,0.0,2.0,2,8,0.25,2.0,8.0,0,0,,0.0,0.0,1,4,5,1.0,4.0,5.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,1,1.0
lions-foley,lions,2,12,6.0,4,19,0.210526315789474,2.0,9.5,0,4,0.0,0.0,2.0,4,15,0.266666666666667,2.0,7.5,4,7,0.571428571428571,2.0,3.5,2,14,16,1.0,7.0,8.0,3,1.5,5,2.5,1,0.5,2,1.0,1,0.5,18,9.0
lions-gus,camdenhells,1,4,4.0,2,7,0.285714285714286,2.0,7.0,0,0,,0.0,0.0,2,7,0.285714285714286,2.0,7.0,0,0,,0.0,0.0,2,5,7,2.0,5.0,7.0,1,1.0,2,2.0,1,1.0,3,3.0,1,1.0,10,10.0
lions-gus,lions,3,21,7.0,9,29,0.310344827586207,3.0,9.66666666666667,0,1,0.0,0.0,0.333333333333333,9,28,0.321428571428571,3.0,9.33333333333333,3,6,0.5,1.0,2.0,11,24,35,3.66666666666667,8.0,11.6666666666667,0,0.0,1,0.333333333333333,4,1.33333333333333,3,1.0,5,1.66666666666667,28,9.33333333333333
lions-kata,lions,4,46,11.5,21,60,0.35,5.25,15.0,2,5,0.4,0.5,1.25,19,55,0.345454545454545,4.75,13.75,2,3,0.666666666666667,0.5,0.75,3,6,9,0.75,1.5,2.25,8,2.0,9,2.25,13,3.25,1,0.25,6,1.5,14,3.5
lions-mychelle,bbcballers,2,17,8.5,6,27,0.222222222222222,3.0,13.5,4,10,0.4,2.0,5.0,2,17,0.117647058823529,1.0,8.5,1,2,0.5,0.5,1.0,4,5,9,2.0,2.5,4.5,0,0.0,3,1.5,4,2.0,1,0.5,1,0.5,3,1.5
