game_id,team_id,player_id,side_id,opp_team_id,game_version,pts,fgm,fga,fgperc,twoptm,twopta,twoptperc,threeptm,threepta,threeptperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,blka,fc,sfc,nsfc,fd,sfd,nsfd,pir,plus_minus_pts,seconds_played,plus_minus_reb,plus_minus_ast,plus_minus_stl,plus_minus_tov,plus_minus_fc,outcome
20191031-1845-hotshots-camdenhells,camdenhells,camdenhells-jess,1,hotshots,5070,2,1,3,33.3,1,2,50.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,19,1952,21,12,4,-7,-5,w
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-ahmed,0,burritos,5070,11,4,9,44.4,1,3,33.3,3,6,50.0,0,2,0,2,4,6,0,4,2,1,0,1,1,0,1,1,0,9,-3,1116,-3,-5,-4,3,2,d
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-alex,0,burritos,5070,5,2,10,20.0,2,9,22.2,0,1,0,1,1,100.0,4,9,13,0,8,2,0,2,3,2,1,1,1,0,0,-18,1545,0,-5,-9,10,1,d
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-alison,0,burritos,5070,2,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,-2,-17,1130,-1,-1,-7,9,1,d
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-victoria,0,burritos,5070,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,2,0,2,1,0,0,0,0,0,0,0,0,-1,-13,1293,-4,-6,-6,6,1,d
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-basel,0,burritos,5070,5,2,7,28.6,1,6,16.7,1,1,100.0,0,0,0,1,1,2,1,4,0,0,0,1,1,0,2,0,2,0,-22,1881,-6,-6,-8,11,3,d
20191031-1930-greenmachine-burritos,greenmachine,greenmachine-jayd,0,burritos,5070,2,1,11,9.1,1,6,16.7,0,5,0,0,0,0,0,4,4,4,2,2,0,1,1,1,0,0,0,0,-2,-17,1581,-3,-2,-6,9,3,d
20191031-1930-greenmachine-burritos,greenmachine,saturdays-jo,0,burritos,5070,2,1,4,25.0,1,1,100.0,0,3,0,0,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,-10,1650,-3,-5,-5,7,4,d
20191031-1930-greenmachine-burritos,burritos,burritos-alex,1,greenmachine,5070,14,7,13,53.8,7,11,63.6,0,2,0,0,0,0,5,4,9,1,2,4,1,0,1,1,0,1,0,1,21,18,1470,3,5,6,-9,-1,w
20191031-1930-greenmachine-burritos,burritos,burritos-allen,1,greenmachine,5070,0,0,4,0,0,2,0,0,2,0,0,0,0,2,3,5,0,1,1,0,0,1,0,1,0,0,0,0,10,623,-3,1,5,-8,0,w
20191031-1930-greenmachine-burritos,burritos,burritos-stuart,1,greenmachine,5070,4,1,10,10.0,1,3,33.3,0,7,0,2,3,66.7,1,6,7,2,1,3,1,1,0,0,0,2,2,0,7,9,1282,2,4,6,-9,-4,w
