game_id,team_id,side_id,possession_id,first_event_id,first_event_type,first_player_id,first_on_court_player_id,cause_type,resolution_type,resolution_is_turnover,last_player_id,points_scored,opp_points_scored_next,second_chance_points,is_after_turnover,passes,players_involved,oreb,true_fga,true_3pa,fta,p1,p2,p3,p4,p5,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5
20191031-1845-hotshots-camdenhells,camdenhells,1,50,04dd4f10-5f71-49d7-9c98-5707c132dec3,ThrowIn,rockets-malachi,camdenhells-sean,TwoPointShotMade,FreeThrowMade,False,rockets-malachi,3,0,0,False,2,2,0,1,0,1,camdenhells-jess,camdenhells-davidgalindo,camdenhells-sean,rockets-anna,rockets-malachi,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin
20191031-1845-hotshots-camdenhells,hotshots,0,51,4e525496-e600-4690-9094-a5acb120cd84,ThrowIn,hotshots-weronika,hotshots-martin,FreeThrowMade,EndOfPeriod,False,hotshots-martin,0,2,0,False,1,1,0,1,1,0,hotshots-harrison,hotshots-weronika,hotshots-daniel,dropbears-mary,hotshots-martin,camdenhells-jess,camdenhells-davidgalindo,camdenhells-sean,rockets-anna,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,52,bc37ad40-ec19-4ff8-84ad-a34fdafdf1e3,EndOfPeriod,greenmachine-ahmed,greenmachine-ahmed,EndOfPeriod,TwoPointShotMade,False,rockets-malachi,2,0,0,False,5,5,0,1,0,0,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi,hotshots-harrison,hotshots-marine,hotshots-martin,hotshots-weronika,hotshots-daniel
20191031-1845-hotshots-camdenhells,hotshots,0,53,ee29b748-51c5-4a59-9198-74af656a2115,ThrowIn,hotshots-harrison,hotshots-marine,TwoPointShotMade,TwoPointShotMissed,False,hotshots-martin,0,3,0,False,2,2,0,1,0,0,hotshots-harrison,hotshots-marine,hotshots-martin,hotshots-weronika,hotshots-daniel,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,54,8ea72362-d715-4d0a-9330-4be71bc02e9c,PlayerControl,camdenhells-sean,camdenhells-sean,TwoPointShotMissed,FreeThrowMade,False,rockets-malachi,3,0,3,False,0,2,1,2,0,1,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi,hotshots-harrison,hotshots-marine,hotshots-martin,hotshots-weronika,hotshots-daniel
20191031-1845-hotshots-camdenhells,hotshots,0,55,6cbfe2bd-3bab-4237-9968-9f62aecdef7e,ThrowIn,hotshots-harrison,hotshots-daniel,FreeThrowMade,BadPass,True,hotshots-harrison,0,2,0,False,2,2,0,0,0,0,hotshots-harrison,hotshots-martin,hotshots-weronika,hotshots-daniel,dropbears-mary,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,56,25e18579-8f75-4503-be12-c6caba9d8f7e,ThrowIn,greenmachine-ahmed,camdenhells-sean,BadPass,TwoPointShotMade,False,rockets-malachi,2,0,0,True,2,2,0,1,0,0,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi,hotshots-harrison,hotshots-martin,hotshots-weronika,hotshots-daniel,dropbears-mary
20191031-1845-hotshots-camdenhells,hotshots,0,57,836d47e6-0c6e-4c24-a7c7-43f05be1e776,ThrowIn,hotshots-harrison,hotshots-marine,TwoPointShotMade,TwoPointShotMissed,False,dropbears-mary,0,0,0,False,4,3,0,1,0,0,hotshots-harrison,hotshots-martin,hotshots-daniel,dropbears-mary,hotshots-marine,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi
20191031-1845-hotshots-camdenhells,camdenhells,1,58,2dd5782f-3646-4535-89b8-9bffa9440d63,PlayerControl,greenmachine-ahmed,greenmachine-ahmed,TwoPointShotMissed,TwoPointShotMissed,False,rockets-malachi,0,0,0,False,2,3,1,2,0,0,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi,hotshots-harrison,hotshots-martin,hotshots-daniel,dropbears-mary,hotshots-marine
20191031-1845-hotshots-camdenhells,hotshots,0,59,aa1d7d00-a718-4b6a-a1c2-087b830713e1,PlayerControl,hotshots-martin,hotshots-martin,TwoPointShotMissed,BadPass,True,hotshots-harrison,0,0,0,False,1,3,0,0,0,0,hotshots-daniel,dropbears-mary,hotshots-marine,hotshots-sharad,hotshots-harrison,greenmachine-ahmed,camdenhells-sean,camdenhells-jess,lostangels-sophie,rockets-malachi
